epoch,bpr,ile,cl,sec,val_Recall@10,val_NDCG@10,val_Recall@20,val_NDCG@20,val_TailRecall@20,val_Coverage@20,val_ARP@20,val_TailExposure@20,val_MiddleExposure@20,val_HeadExposure@20
1,0.6927156174269906,1.2671160398114283e-06,5.574877049801123,4.092491626739502,,,,,,,,,,
2,0.6925131134743238,1.199962434533108e-06,5.5679722041109185,3.9592738151550293,,,,,,,,,,
3,0.6922700326808178,1.271412471284796e-06,5.563502363914991,4.260834455490112,,,,,,,,,,
4,0.6920043904415882,1.2759488669137658e-06,5.5619836480078035,3.9542062282562256,,,,,,,,,,
5,0.6917207267162574,1.4717716987453046e-06,5.560754386177899,4.408926486968994,0.011269472539424896,0.004859306383877993,0.01740139164030552,0.006372206844389439,0.0,0.8431927540333993,5.4126996994018555,0.07098110705999337,0.41950613191912495,0.5095127610208817
6,0.69143149539502,1.3619745614718784e-06,5.5612293507931,4.291043043136597,,,,,,,,,,
7,0.6910752910767158,1.7329806952379442e-06,5.561033147965034,4.303405523300171,,,,,,,,,,
8,0.6907234300662132,1.7340804686943514e-06,5.559299416785692,3.7684452533721924,,,,,,,,,,
9,0.6903824588678179,2.0830859228238505e-06,5.558885536054625,4.172717809677124,,,,,,,,,,
10,0.6899602900456338,1.9839032856484365e-06,5.55868596056082,4.196898460388184,0.01342393085360527,0.006234740372747183,0.021047398447990417,0.008162053301930428,0.0,0.7650721766204359,5.532724857330322,0.04407524030493868,0.4066042426251243,0.549320517069937
11,0.6894969818365835,2.2223908065333436e-06,5.557241265791176,4.239788770675659,,,,,,,,,,
12,0.688979704884717,2.261988024015558e-06,5.558801410842116,4.236366271972656,,,,,,,,,,
13,0.6884274739418587,2.6338983343822062e-06,5.557695816903219,4.28449821472168,,,,,,,,,,
14,0.6877986553811679,2.5673073853093737e-06,5.556964164232686,4.2774646282196045,,,,,,,,,,
15,0.687126169674588,2.4574164592733033e-06,5.560824658748877,4.367153644561768,0.01574411615729332,0.007450874894857407,0.029002320021390915,0.010792585089802742,0.0042105261236429214,0.7545994905179734,5.571412563323975,0.03916970500497183,0.39409181305933044,0.5667384819356978
16,0.6863279969152742,3.022515312927498e-06,5.557488831290363,4.307093381881714,,,,,,,,,,
17,0.6853690652081567,2.995453714677305e-06,5.560065593162593,4.167897462844849,,,,,,,,,,
18,0.6843485523314372,3.4547483088464142e-06,5.557780941037366,4.304511308670044,,,,,,,,,,
19,0.6830987708411947,2.99581695833468e-06,5.558143887206586,4.264312982559204,,,,,,,,,,
20,0.6816659678507896,3.5193994557641706e-06,5.561813775640335,4.218198537826538,0.018561484292149544,0.00938835833221674,0.03811733424663544,0.014288462698459625,0.008421052247285843,0.7715822247381828,5.617372512817383,0.038647663241630756,0.36735167384819356,0.5940006629101757
21,0.679985357897125,3.3421882025985323e-06,5.557809112715895,3.8454360961914062,,,,,,,,,,
22,0.6779016956795741,3.937530911167102e-06,5.559242965531175,4.039339542388916,,,,,,,,,,
23,0.6756203196344585,3.7476035242982695e-06,5.561778273895709,4.286518812179565,,,,,,,,,,
24,0.6726354826105773,4.274889470487101e-06,5.5620162330404685,4.347979784011841,,,,,,,,,,
25,0.6692544221878052,4.346286889941409e-06,5.561635184462053,4.316115856170654,0.029002320021390915,0.014402024447917938,0.04872389882802963,0.01939057931303978,0.014736841432750225,0.7803566374186244,5.708147048950195,0.036882664898906195,0.31770798806761685,0.645409347033477
26,0.6650744337235054,5.955390106276871e-06,5.563072764960519,4.259551286697388,,,,,,,,,,
27,0.6598950293812439,6.239286298009566e-06,5.5633288334756,4.30112361907959,,,,,,,,,,
28,0.6536575612360543,1.1895490990182216e-05,5.566857846113887,4.044096231460571,,,,,,,,,,
29,0.6460725443206564,2.035306434659711e-05,5.567574626337873,4.169893026351929,,,,,,,,,,
