epoch,bpr,ile,cl,sec,val_Recall@10,val_NDCG@10,val_Recall@20,val_NDCG@20,val_TailRecall@20,val_Coverage@20,val_ARP@20,val_TailExposure@20,val_MiddleExposure@20,val_HeadExposure@20
1,0.692839683842485,4.470852310848957e-07,5.581887140761327,5.613934755325317,,,,,,,,,,
2,0.6925615907585534,5.47715161581994e-07,5.572390117784487,5.644191026687622,,,,,,,,,,
3,0.6921861889588572,6.901316079324466e-07,5.566184123937231,5.59197998046875,,,,,,,,,,
4,0.6917328286344988,7.980742308438451e-07,5.565445290864819,5.36613917350769,,,,,,,,,,
5,0.6911764980232629,9.692223565106323e-07,5.564120557186377,5.683980464935303,0.016572754830121994,0.00817143078893423,0.027013588696718216,0.010812134481966496,0.0,0.8700820832153977,5.429708480834961,0.08351839575737488,0.38955916473317864,0.5269224395094465
6,0.6905369780359477,1.111605802352028e-06,5.565033703824899,5.634544372558594,,,,,,,,,,
7,0.6897254338229659,1.2505815298879952e-06,5.565332816465058,5.609715938568115,,,,,,,,,,
8,0.6886525837174298,1.376099361811776e-06,5.566211658672695,5.617093086242676,,,,,,,,,,
9,0.6872591994104594,1.9306292370662916e-06,5.56811996794095,5.626755237579346,,,,,,,,,,
10,0.6853343400641949,1.8562593882630977e-06,5.569266750864739,5.690978288650513,0.03944315388798714,0.01968810148537159,0.0647994726896286,0.026025444269180298,0.010526315309107304,0.7577129917916785,5.832059860229492,0.037470997679814384,0.275977792509115,0.6865512098110707
11,0.6826406134306079,1.960078354935637e-06,5.574845247895178,5.618968486785889,,,,,,,,,,
12,0.6787934729652684,1.9232727760492996e-06,5.582925751261468,5.602618932723999,,,,,,,,,,
13,0.6732540330747618,3.256387903502649e-06,5.590395339214019,5.554288864135742,,,,,,,,,,
14,0.6652296059323053,1.0253516943351274e-05,5.605289852532157,5.709351062774658,,,,,,,,,,
15,0.6532880054773206,5.702419313918348e-05,5.631952658186864,5.609896659851074,0.07457739114761353,0.035955920815467834,0.12197547405958176,0.047885507345199585,0.027368418872356415,0.6062836116614775,6.298531532287598,0.019937023533311237,0.11612529002320185,0.8639376864434869
16,0.6365730945211258,0.00020151825899856902,5.668842590638321,5.610575199127197,,,,,,,,,,
17,0.6132412343999766,0.0006845497303063655,5.720366474485745,5.427487373352051,,,,,,,,,,
18,0.5830062453764199,0.001896673296603721,5.791123003855239,5.66258978843689,,,,,,,,,,
19,0.5473265660940295,0.004079618197219977,5.875203699961196,5.603971004486084,,,,,,,,,,
20,0.5100323518697363,0.007401578053560135,5.952962060914422,5.6406004428863525,0.08452104777097702,0.04105155169963837,0.14302286505699158,0.05572867766022682,0.031578946858644485,0.4542881403906029,6.608071327209473,0.011725223732184289,0.0547895260192244,0.9334852502485913
21,0.4750420894936053,0.011000035000951404,6.018838767587703,5.63046932220459,,,,,,,,,,
22,0.44387534347763896,0.014719116834610918,6.0669932574251275,5.6133246421813965,,,,,,,,,,
23,0.4178938741666557,0.017778907970518527,6.094247076633203,5.208404541015625,,,,,,,,,,
24,0.39622869152222234,0.018171790725531153,6.112377285087196,5.428079605102539,,,,,,,,,,
25,0.3779669499745334,0.019675892668973356,6.1210102373666135,5.32127046585083,0.09032151103019714,0.04301151633262634,0.15064632892608643,0.05811483412981033,0.03578947111964226,0.4330597226153411,6.59874153137207,0.010333112363274777,0.054905535299966855,0.9347613523367584
26,0.3624749871066017,0.020490512999631193,6.122636022358916,5.649137020111084,,,,,,,,,,
